Zone,Longitude,Lattitude
1,-4.577777778,58.6
2,-3.855555556,58.6
3,-4.577777778,58.14736842
4,-3.855555556,58.14736842
5,-5.3,57.69473684
6,-4.577777778,57.69473684
7,-3.855555556,57.69473684
8,-3.133333333,57.69473684
9,-2.411111111,57.69473684
10,-5.3,57.24210526
11,-4.577777778,57.24210526
12,-3.855555556,57.24210526
13,-3.133333333,57.24210526
14,-2.411111111,57.24210526
15,-5.3,56.78947368
16,-4.577777778,56.78947368
17,-3.855555556,56.78947368
18,-3.133333333,56.78947368
19,-5.3,56.33684211
20,-4.577777778,56.33684211
21,-3.855555556,56.33684211
22,-3.133333333,56.33684211
23,-4.577777778,55.88421053
24,-3.855555556,55.88421053
25,-3.133333333,55.88421053
26,-2.411111111,55.88421053
27,-4.577777778,55.43157895
28,-3.855555556,55.43157895
29,-3.133333333,55.43157895
30,-2.411111111,55.43157895
31,-4.577777778,54.97894737
32,-3.855555556,54.97894737
33,-3.133333333,54.97894737
34,-2.411111111,54.97894737
35,-1.688888889,54.97894737
36,-3.133333333,54.52631579
37,-2.411111111,54.52631579
38,-1.688888889,54.52631579
39,-0.966666667,54.52631579
40,-3.133333333,54.07368421
41,-2.411111111,54.07368421
42,-1.688888889,54.07368421
43,-0.966666667,54.07368421
44,-0.244444444,54.07368421
45,-3.133333333,53.62105263
46,-2.411111111,53.62105263
47,-1.688888889,53.62105263
48,-0.966666667,53.62105263
49,-0.244444444,53.62105263
50,-4.577777778,53.16842105
51,-3.855555556,53.16842105
52,-3.133333333,53.16842105
53,-2.411111111,53.16842105
54,-1.688888889,53.16842105
55,-0.966666667,53.16842105
56,-0.244444444,53.16842105
57,-3.855555556,52.71578947
58,-3.133333333,52.71578947
59,-2.411111111,52.71578947
60,-1.688888889,52.71578947
61,-0.966666667,52.71578947
62,-0.244444444,52.71578947
63,0.477777778,52.71578947
64,1.2,52.71578947
65,-3.855555556,52.26315789
66,-3.133333333,52.26315789
67,-2.411111111,52.26315789
68,-1.688888889,52.26315789
69,-0.966666667,52.26315789
70,-0.244444444,52.26315789
71,0.477777778,52.26315789
72,1.2,52.26315789
73,-5.3,51.81052632
74,-4.577777778,51.81052632
75,-3.855555556,51.81052632
76,-3.133333333,51.81052632
77,-2.411111111,51.81052632
78,-1.688888889,51.81052632
79,-0.966666667,51.81052632
80,-0.244444444,51.81052632
81,0.477777778,51.81052632
82,1.2,51.81052632
83,-3.133333333,51.35789474
84,-2.411111111,51.35789474
85,-1.688888889,51.35789474
86,-0.966666667,51.35789474
87,-0.244444444,51.35789474
88,0.477777778,51.35789474
89,-4.577777778,50.90526316
90,-3.855555556,50.90526316
91,-3.133333333,50.90526316
92,-2.411111111,50.90526316
93,-1.688888889,50.90526316
94,-0.966666667,50.90526316
95,-0.244444444,50.90526316
96,0.477777778,50.90526316
97,1.2,50.90526316
98,-4.577777778,50.45263158
99,-3.855555556,50.45263158
100,-5.3,50
